Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,7.692,53.02925847,53.02925847,46.97074153
0.85,1.1272,7.77100626,60.80026473,39.19973527
0.3,4.607,31.76102363,92.56128837,7.438711634
0.25,0.2129,1.467749497,94.02903786,5.970962138
0.125,0.3881,2.675592201,96.70463006,3.295369936
0.063,0.1765,1.216805008,97.92143507,2.078564928
0.053,0.0508,0.350219232,98.2716543,1.728345697
0.038,0.0954,0.657695171,98.92934947,1.070650525
0.025,0.0676,0.466039765,99.39538924,0.60461076
pan,0.0877,0.60461076,100,0
TOTAL,14.5052,,,
,,,,
