Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,14.5003,57.54955112,57.54955112,42.45044888
0.85,1.7741,7.041141124,64.59069225,35.40930775
0.3,6.856,27.21045237,91.80114462,8.198855383
0.25,0.5069,2.011811305,93.81295592,6.187044078
0.125,0.9018,3.579111136,97.39206706,2.607932942
0.063,0.3444,1.366872782,98.75893984,1.24106016
0.053,0.0861,0.341718196,99.10065804,0.899341964
0.038,0.1178,0.467530818,99.56818885,0.431811146
0.025,0.0917,0.363943769,99.93213262,0.067867377
pan,0.0171,0.067867377,100,0
TOTAL,25.1962,,,
,,,,
