Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,40.4082,56.36188144,56.36188144,43.63811856
0.85,6.3419,8.845764371,65.20764581,34.79235419
0.3,20.1172,28.05973147,93.26737728,6.732622723
0.25,1.1863,1.654666626,94.9220439,5.077956097
0.125,2.1761,3.035252503,97.95729641,2.042703594
0.063,0.7677,1.070797917,99.02809432,0.971905677
0.053,0.1193,0.166401187,99.19449551,0.80550449
0.038,0.2702,0.376878464,99.57137397,0.428626026
0.025,0.232,0.323596609,99.89497058,0.105029417
pan,0.0753,0.105029417,100,0
TOTAL,71.6942,,,
,,,,
