Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,12.8617,43.51902606,43.51902606,56.48097394
0.85,2.7815,9.411521882,52.93054794,47.06945206
0.3,11.1382,37.68736762,90.61791556,9.382084441
0.25,0.6071,2.054191959,92.67210752,7.327892482
0.125,1.1742,3.973039365,96.64514688,3.354853117
0.063,0.3775,1.277314223,97.92246111,2.077538895
0.053,0.1029,0.348173864,98.27063497,1.729365031
0.038,0.2842,0.961623052,99.23225802,0.767741979
0.025,0.151,0.510925689,99.74318371,0.25681629
pan,0.0759,0.25681629,100,0
TOTAL,29.5542,100,,
,,,,
