Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,23.9945,61.86589042,61.86589042,38.13410958
0.85,3.0172,7.779356293,69.64524671,30.35475329
0.3,9.2511,23.85244697,93.49769368,6.502306322
0.25,0.4707,1.213622898,94.71131658,5.288683424
0.125,0.9722,2.506658554,97.21797513,2.782024871
0.063,0.4102,1.057633551,98.27560868,1.724391319
0.053,0.0822,0.211939244,98.48754792,1.512452075
0.038,0.1844,0.475445214,98.96299314,1.037006861
0.025,0.1593,0.410728973,99.37372211,0.626277888
pan,0.2429,0.626277888,100,0
TOTAL,38.7847,,,
,,,,
