Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,19.2182,60.30658194,60.30658194,39.69341806
0.85,2.147,6.737271515,67.04385346,32.95614654
0.3,8.223,25.80371852,92.84757198,7.152428022
0.25,0.4497,1.411155566,94.25872754,5.741272456
0.125,0.9864,3.095316545,97.35404409,2.645955911
0.063,0.3597,1.128736173,98.48278026,1.517219738
0.053,0.0621,0.194869381,98.67764964,1.322350357
0.038,0.1269,0.398211344,99.07586099,0.924139013
0.025,0.1308,0.410449518,99.4863105,0.513689496
pan,0.1637,0.513689496,100,0
TOTAL,31.8675,,,
,,,,
