VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.687,0.038,-0.254
0.937,0.018,0.008
0.526,-0.048,-0.276
0.811,0.031,0.082
0.633,-0.027,0.228
0.676,0,-0.074
0.472,-0.01,0.212
0.913,-0.004,-0.178
0.734,0.008,0.152
0.906,0.017,0.408
0.845,-0.019,-0.091
0.679,0.047,-0.004
0.706,-0.037,0.22
0.667,0.059,-0.005
0.776,0.028,0.323
0.636,0.011,-0.121
0.601,-0.016,0.215
0.79,0.068,0.456
0.861,-0.073,-0.317
0.617,0.01,0.15
0.808,0.015,0.214
0.822,0.102,0.03
0.734,0.003,-0.21
0.995,-0.084,-0.5
0.95,0.005,-0.239
0.534,0.009,-0.01
0.747,-0.048,-0.003
1.16,-0.023,-0.391
0.713,0.005,-0.16
0.817,0.066,0.124
0.704,0.017,0.283
0.698,0.056,-0.107
0.75,0.076,0.147
0.516,0.004,0.662
0.716,0.099,0.016
0.6,-0.03,0.095
0.794,0.021,-0.321
0.646,0.05,0.093
0.651,-0.037,-0.121
0.689,0.017,0.123
0.716,0.008,-0.031
0.511,-0.041,-0.122
0.813,0.037,0.131
0.477,-0.072,-0.093
0.642,0.014,0.375
0.732,0.025,-0.168
0.644,-0.034,-0.079
0.679,-0.02,0.121
0.693,0.134,0.102
0.692,-0.014,-0.036
0.858,0.004,-0.132
1.004,0.044,0.581
0.832,0.078,0.443
0.68,0.014,0.003
0.689,0.034,-0.045
0.34,-0.033,-0.193
0.642,-0.014,0.178
0.895,0.016,0.071
0.507,0.006,0.45
0.763,-0.028,0.007
0.72,0.042,-0.194
0.64,0.039,0.138
0.676,-0.014,0.084
0.783,0.012,-0.029
0.793,-0.03,0.753
0.752,0.002,-0.097
0.883,-0.035,-0.147
0.743,0.072,-0.082
0.854,0.015,0.069
0.64,0.018,0.05
0.664,-0.014,-0.312
0.698,0.06,-0.135
1.01,0.027,-0.01
0.765,0.009,-0.23
0.878,-0.006,-0.673
0.923,-0.007,0.003
0.592,-0.056,-0.038
0.765,-0.058,-0.142
0.753,-0.019,-0.019
0.66,-0.024,-0.069
