VelX,VelY,VelZ
(m/s),(m/s),(m/s)
1.781,0.137,0.105
1.216,0.11,0.262
1.009,0.328,2.049
1.379,-0.053,-0.988
1.605,0.32,1.787
1.284,0.241,-0.038
1.353,0.12,-0.907
1.682,0.215,0.958
1.6,0.337,1.014
1.344,0.085,-0.28
1.056,0.206,-0.597
1.249,0.187,-0.085
1.86,0.234,0.392
0.966,-0.036,-3.688
1.609,0.384,1.505
1.263,0.282,0.631
1.235,0.274,0.484
1.76,0.127,-0.777
1.577,0.196,0.394
1.871,0.104,-0.512
1.933,-0.021,-0.396
0.894,0.218,0.093
1.972,0.386,0.096
1.087,0.242,-0.124
1.255,0.138,0.174
1.8,-0.055,-0.445
1.291,0.05,-1.529
1.586,-0.06,-1.022
2.209,0.138,-1.203
2.067,0.2,0.393
1.358,0.183,0.001
1.551,0.156,1.062
1.58,-0.073,-0.488
0.999,0.045,-0.586
1.65,0.117,-0.265
0.537,0.201,-0.111
1.764,0.193,-0.98
1.328,0.175,-0.352
1.945,0.135,1.376
0.947,0.19,0.436
2.051,-0.052,-2.529
2.293,-0.13,-0.383
1.437,0.278,0.681
2.404,0.188,1.825
1.497,0.121,-0.871
1.365,0.061,-0.205
1.983,0.02,-1.059
1.617,0.485,2.693
1.595,0.485,0.752
1.857,0.015,0.237
1.453,0.215,0.175
1.123,0.13,0.203
1.306,0.064,-0.074
1.306,0.13,-0.492
1.646,0.075,-0.436
1.237,0.142,0.547
1.091,0.109,-0.382
1.345,0.224,-0.764
1.299,-0.089,-1.52
1.033,0.091,3.164
0.799,0.157,-0.5
1.455,0.12,0.087
1.095,0.248,-0.629
2.038,0.054,-0.076
2.411,0.382,-0.467
1.038,0.103,0.543
1.438,0.019,-0.714
-0.084,-0.149,-0.804
1.648,0.366,0.09
2.079,0.086,1.101
1.283,0.266,0.086
1.399,0.051,0.369
1.614,-0.08,-0.398
1.933,0.188,0.209
1.053,-0.076,-0.422
1.548,0.23,-0.893
1.554,0.142,-0.116
2.743,0.47,1.822
1.428,0.026,-1.488
0.505,-0.134,0.94
