VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.901,-0.053,0.814
0.293,-0.046,0.203
0.584,-0.11,0.061
0.7,-0.086,0.307
0.792,-0.108,0.259
0.498,-0.044,-0.061
0.61,-0.227,0.065
0.949,-0.177,-0.636
0.566,-0.081,0.968
0.77,-0.134,-0.564
0.783,-0.125,0.35
0.611,-0.106,-0.273
0.624,-0.056,0.218
0.424,0.06,0.098
0.698,-0.093,-0.771
0.871,-0.152,0.152
0.589,-0.094,0.254
0.468,-0.069,0.603
1.018,-0.159,0.132
1.445,0.05,0.783
1.085,-0.132,0.448
0.774,-0.05,0.305
0.892,-0.068,0.26
0.894,-0.134,-0.246
0.574,-0.123,1.369
0.293,-0.05,0.12
0.853,-0.197,0.49
0.78,-0.215,-0.167
0.794,-0.094,0.76
0.641,-0.119,-0.289
0.832,-0.132,0.792
0.811,-0.029,0.403
0.76,-0.21,0.438
0.585,-0.174,0.005
0.85,0.005,0.199
0.555,-0.092,0.588
0.244,-0.063,0.608
0.89,-0.151,-0.555
0.609,-0.029,0.312
1.026,-0.132,0.47
0.913,-0.198,0.04
0.733,-0.205,-0.197
0.476,-0.089,-0.034
0.668,0.026,0.684
0.713,-0.045,-0.145
0.735,-0.154,-0.037
0.934,-0.108,0.267
0.469,-0.089,-0.205
0.84,-0.097,0.051
0.504,-0.093,-0.379
0.927,-0.21,0.588
0.616,-0.131,0.407
0.78,-0.272,-0.51
0.74,0.016,0.516
0.976,-0.226,-0.16
1.212,-0.361,-0.814
0.609,-0.241,0.098
0.986,-0.083,0.668
0.614,-0.062,0.325
0.759,-0.073,0.635
0.703,-0.105,0.242
0.463,-0.017,0.148
0.476,-0.011,-0.132
1.119,-0.131,0.1
0.507,-0.194,0.477
0.461,-0.092,0.184
1.574,-0.192,0.254
0.733,0.14,2.24
0.52,0.001,0.248
0.448,0.095,1.002
0.716,0.04,0.67
0.746,-0.105,-0.111
0.952,-0.118,0.434
1.008,-0.323,0.355
0.872,-0.265,0.207
0.339,-0.108,0.069
1.18,-0.385,0.563
1.384,-0.293,-1.604
0.225,-0.304,-0.186
0.789,-0.12,0.115
