VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.443,0.074,0.928
-0.653,-0.016,0.061
-0.184,-0.101,-1.037
0.73,0.055,0.107
0.425,0.064,0.625
0.357,-0.037,-0.897
0.498,0.1,-0.25
0.49,0.035,-0.846
0.318,-0.017,0.321
0.623,0.223,0.518
0.736,-0.146,-0.307
0.448,-0.025,0.163
0.411,0.001,-0.359
0.247,-0.015,0.27
1.007,-0.145,-0.661
0.507,0.07,0.566
0.735,-0.016,0.026
0.285,-0.088,-0.079
0.432,0.121,1.309
0.341,0.214,0.594
0.451,0.005,-0.615
0.249,-0.01,0.113
0.522,0.122,0.295
0.576,-0.082,0.224
0.645,0.078,0.907
0.706,0.137,0.373
0.555,0.052,-0.042
0.385,0.079,-0.222
0.051,0.204,0.806
0.863,-0.134,-0.589
0.568,-0.036,-0.261
0.446,0.125,-0.012
0.307,0.177,0.48
0.307,0.063,-0.043
0.705,0.11,1.294
0.379,0.048,-0.403
0.265,0.097,0.418
1.114,-0.173,-0.222
1.106,-0.062,-0.368
0.302,-0.046,-0.351
0.511,-0.033,0.951
0.475,0.239,0.293
0.656,0.012,0.195
0.549,-0.106,-0.066
0.548,0.206,0.349
0.64,0.026,0.129
0.721,0.148,0.18
0.557,0.103,-0.006
0.221,0.106,0.619
0.809,0.213,0.972
0.094,0.053,0.481
0.154,0.041,0.144
0.309,0.074,0.534
0.551,0.059,1.038
0.76,0.088,0.273
0.391,0.111,0.43
0.433,-0.023,0.281
0.067,0.088,0.185
0.409,0.058,-0.144
0.432,0.068,0.134
0.406,-0.001,0.556
0.584,-0.021,-0.09
0.76,-0.107,-0.597
0.733,-0.043,-0.286
0.808,0.166,0.738
1.694,0.06,0.031
0.578,0.077,1.6
0.472,0.014,-0.143
0.417,0.045,-0.459
1.459,0.026,-0.158
1.17,0.099,0.906
0.485,0.052,0.276
0.195,0.118,0.557
0.952,-0.194,-0.832
0.412,0.006,-0.327
0.711,-0.014,-0.068
0.527,0.019,0.172
0.4,0.063,0.101
0.508,0.205,0.4
0.299,0.146,0.27
