VelX,VelY,VelZ
(m/s),(m/s),(m/s)
1.038,-0.061,0.106
0.877,-0.064,-0.099
0.944,-0.072,-0.173
0.803,0.043,0.081
0.734,-0.053,-0.124
0.776,-0.083,-0.578
0.611,-0.075,-0.288
0.823,-0.062,0.084
0.589,-0.112,-0.131
0.927,-0.074,-0.27
0.974,0.039,0.153
0.765,-0.068,-0.019
0.702,-0.027,-0.206
0.676,-0.08,-0.2
0.852,-0.019,-0.269
0.799,-0.015,-0.024
0.914,-0.066,-0.136
0.867,-0.04,0.152
0.863,-0.015,0.017
0.61,-0.039,-0.107
0.648,-0.106,-0.49
0.853,-0.079,-0.676
0.344,-0.095,-0.192
1.044,-0.051,-0.133
1.081,0.094,0.368
0.62,-0.036,-0.414
0.747,-0.037,0.067
0.646,-0.036,-0.021
1.047,0.036,0.05
0.792,0.016,0.236
0.819,0.037,0.13
0.782,0.045,0.502
0.671,-0.124,-0.131
0.472,-0.169,-0.612
0.84,-0.03,-0.088
0.837,-0.039,-0.315
0.641,-0.068,0.15
0.979,0.08,0.402
0.857,0.028,0.231
0.663,-0.049,0.17
0.947,0.014,0.089
0.898,-0.098,-0.063
1.214,-0.005,0.019
1.046,-0.061,-0.175
1.019,-0.018,-0.112
0.964,-0.072,-0.322
0.686,0.027,0.343
0.931,-0.051,-0.225
0.84,-0.026,-0.027
0.688,-0.079,-0.083
0.93,-0.039,-0.243
0.901,0.053,0.281
0.608,-0.068,-0.147
0.885,-0.002,0.234
0.828,-0.089,-0.091
0.706,0.035,0.419
0.792,0.004,0.098
0.769,-0.029,-0.036
0.911,-0.086,-0.092
0.976,-0.045,0.054
0.931,-0.043,-0.063
0.901,-0.067,0.159
1.084,-0.08,0.034
0.706,-0.02,0.127
0.996,-0.023,-0.119
0.926,-0.035,0.061
0.743,-0.006,0.259
0.906,0.088,0.197
0.866,-0.087,-0.096
0.685,-0.051,-0.12
0.696,-0.041,0.004
0.702,-0.049,0.022
0.867,-0.046,-0.028
0.806,-0.033,0.049
1.102,-0.012,0.218
1.194,0.06,0.154
0.789,-0.057,-0.439
0.671,-0.076,0.169
0.781,-0.09,-0.278
0.732,-0.02,-0.123
