Time,,T1,TopTemperature,T2,T3,T4,BottomTemperature,
1626091200,7/12/2021 0:00,,3.14E-06,7.23E-07,3.06E-07,7.27E-07,-2.00E-07,
1626092100,7/12/2021 0:15,,3.14E-06,7.22E-07,3.07E-07,7.26E-07,-1.99E-07,
1626093000,7/12/2021 0:30,,3.13E-06,7.21E-07,3.08E-07,7.24E-07,-1.99E-07,
1626093900,7/12/2021 0:45,,3.13E-06,7.20E-07,3.09E-07,7.22E-07,-1.98E-07,
1626094800,7/12/2021 1:00,,3.13E-06,7.19E-07,3.10E-07,7.21E-07,-1.98E-07,
1626095700,7/12/2021 1:15,,3.12E-06,7.18E-07,3.11E-07,7.19E-07,-1.97E-07,
1626096600,7/12/2021 1:30,,3.12E-06,7.17E-07,3.12E-07,7.17E-07,-1.96E-07,
1626097500,7/12/2021 1:45,,3.11E-06,7.16E-07,3.13E-07,7.14E-07,-1.94E-07,
1626098400,7/12/2021 2:00,,3.11E-06,7.15E-07,3.14E-07,7.12E-07,-1.93E-07,
1626099300,7/12/2021 2:15,,3.10E-06,7.14E-07,3.15E-07,7.10E-07,-1.91E-07,
1626100200,7/12/2021 2:30,,3.10E-06,7.13E-07,3.16E-07,7.07E-07,-1.90E-07,
1626101100,7/12/2021 2:45,,3.10E-06,7.12E-07,3.17E-07,7.05E-07,-1.88E-07,
1626102000,7/12/2021 3:00,,3.09E-06,7.11E-07,3.18E-07,7.02E-07,-1.86E-07,
1626102900,7/12/2021 3:15,,3.09E-06,7.10E-07,3.19E-07,6.99E-07,-1.84E-07,
1626103800,7/12/2021 3:30,,3.09E-06,7.09E-07,3.20E-07,6.96E-07,-1.82E-07,
1626104700,7/12/2021 3:45,,3.08E-06,7.08E-07,3.21E-07,6.93E-07,-1.80E-07,
1626105600,7/12/2021 4:00,,3.08E-06,7.07E-07,3.22E-07,6.90E-07,-1.78E-07,
1626106500,7/12/2021 4:15,,3.08E-06,7.06E-07,3.22E-07,6.87E-07,-1.75E-07,
1626107400,7/12/2021 4:30,,3.08E-06,7.05E-07,3.23E-07,6.84E-07,-1.73E-07,
1626108300,7/12/2021 4:45,,3.07E-06,7.04E-07,3.24E-07,6.80E-07,-1.70E-07,
1626109200,7/12/2021 5:00,,3.07E-06,7.04E-07,3.25E-07,6.77E-07,-1.68E-07,
