Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,7.2045,48.4192911,48.4192911,51.5807089
0.85,1.2419,8.3464387,56.7657298,43.2342702
0.3,4.4509,29.91316854,86.67889834,13.32110166
0.25,0.233,1.565923357,88.2448217,11.7551783
0.125,0.5519,3.709154939,91.95397664,8.046023361
0.063,0.4262,2.86436281,94.81833945,5.181660551
0.053,0.1124,0.755406804,95.57374625,4.426253747
0.038,0.2363,1.588101671,97.16184792,2.838152076
0.025,0.2223,1.494011855,98.65585978,1.344140221
pan,0.2,1.344140221,100,0
TOTAL,14.8794,,,
,,,,
