Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,8.7993,51.59003764,51.59003764,48.40996236
0.85,1.4553,8.532381187,60.12241883,39.87758117
0.3,5.227,30.64574759,90.76816641,9.231833585
0.25,0.2347,1.376039212,92.14420563,7.855794374
0.125,0.488,2.861129677,95.0053353,4.994664697
0.063,0.3413,2.001031883,97.00636719,2.993632814
0.053,0.1074,0.629683048,97.63605023,2.363949766
0.038,0.191,1.119827394,98.75587763,1.244122372
0.025,0.1633,0.957423107,99.71330074,0.286699265
pan,0.0489,0.286699265,100,0
TOTAL,17.0562,,,
,,,,
