Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,11.6857,42.38510281,42.38510281,57.61489719
0.85,2.1867,7.931360921,50.31646373,49.68353627
0.3,9.8265,35.64161435,85.95807808,14.04192192
0.25,0.7819,2.836022822,88.7941009,11.2058991
0.125,1.5739,5.708679267,94.50278017,5.497219834
0.063,0.6807,2.468961165,96.97174133,3.02825867
0.053,0.147,0.533182446,97.50492378,2.495076223
0.038,0.3036,1.101184971,98.60610875,1.393891253
0.025,0.1829,0.66339503,99.26950378,0.730496222
pan,0.2014,0.730496222,100,0
TOTAL,27.5703,,,
,,,,
