Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,14.8606,68.10478364,68.10478364,31.89521636
0.85,1.419,6.503148459,74.6079321,25.3920679
0.3,4.4881,20.56855574,95.17648784,4.823512158
0.25,0.1556,0.713100705,95.88958855,4.110411454
0.125,0.349,1.599435386,97.48902393,2.510976068
0.063,0.2252,1.0320712,98.52109513,1.478904868
0.053,0.062,0.284140384,98.80523552,1.194764484
0.038,0.1156,0.529784328,99.33501984,0.664980156
0.025,0.0963,0.441334177,99.77635402,0.223645979
pan,0.0488,0.223645979,100,0
TOTAL,21.8202,,,
,,,,
