Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,26.0971,55.50885582,55.50885582,44.49114418
0.85,4.0728,8.662896183,64.171752,35.828248
0.3,13.2778,28.24204551,92.4137975,7.586202496
0.25,0.5806,1.234943411,93.64874091,6.351259085
0.125,1.2107,2.575173936,96.22391485,3.776085149
0.063,0.6174,1.313217468,97.53713232,2.462867681
0.053,0.1536,0.326709108,97.86384143,2.136158573
0.038,0.2484,0.528349885,98.39219131,1.607808688
0.025,0.1384,0.294378519,98.68656983,1.313430169
pan,0.6175,1.313430169,100,0
TOTAL,47.0143,,,
,,,,
