Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,11.0172,40.02135984,40.02135984,59.97864016
0.85,2.6311,9.557800518,49.57916035,50.42083965
0.3,11.0552,40.1593996,89.73855995,10.26144005
0.25,0.6813,2.474907641,92.2134676,7.786532405
0.125,1.1233,4.080528038,96.29399563,3.706004366
0.063,0.4425,1.607436711,97.90143234,2.098567656
0.053,0.114125,0.414573366,98.31600571,1.68399429
0.038,0.2018,0.733063793,99.0490695,0.950930497
0.025,0.1439,0.522734786,99.57180429,0.428195711
pan,0.117875,0.428195711,100,0
TOTAL,27.5283,,,
,,,,
