Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,21.6877,45.8395509,45.8395509,54.1604491
0.85,4.2088,8.895802774,54.73535367,45.26464633
0.3,16.6951,35.28709297,90.02244664,9.977553358
0.25,0.9626,2.034570365,92.05701701,7.942982994
0.125,1.9917,4.209696442,96.26671345,3.733286552
0.063,0.889,1.879007951,98.1457214,1.8542786
0.053,0.1082,0.228693656,98.37441506,1.625584944
0.038,0.3213,0.679106023,99.05352108,0.946478921
0.025,0.2427,0.512975512,99.56649659,0.433503409
pan,0.2051,0.433503409,100,0
TOTAL,47.3122,,,
,,,,
