Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,12.6516,52.38302259,52.38302259,47.61697741
0.85,1.7547,7.265206752,59.64822935,40.35177065
0.3,7.0716,29.27944154,88.92767089,11.07232911
0.25,0.5716,2.366667909,91.29433879,8.705661205
0.125,0.78079,3.232803773,94.52714257,5.472857433
0.063,0.34931,1.446292455,95.97343502,4.026564978
0.053,0.4861,2.012661425,97.98609645,2.013903553
0.038,0.2349,0.972586235,98.95868268,1.041317318
0.025,0.2065,0.854998116,99.8136808,0.186319202
pan,0.045,0.186319202,100,0
TOTAL,24.1521,,,
,,,,
