Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,39.6618,63.11502932,63.11502932,36.88497068
0.85,4.1601,6.620093729,69.73512305,30.26487695
0.3,14.287,22.73533788,92.47046093,7.529539071
0.25,0.9672,1.539134794,94.00959572,5.990404277
0.125,2.0254,3.223080657,97.23267638,2.767323621
0.063,0.9039,1.438403577,98.67107996,1.328920044
0.053,0.16254,0.258654848,98.9297348,1.070265195
0.038,0.35656,0.567404779,99.49713958,0.502860416
0.025,0.2685,0.427272221,99.9244118,0.075588196
pan,0.0475,0.075588196,100,0
TOTAL,62.8405,,,
,,,,
