Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,11.3727,47.39138407,47.39138407,52.60861593
0.85,2.0884,8.702609449,56.09399352,43.90600648
0.3,7.3098,30.46079992,86.55479344,13.44520656
0.25,0.5494,2.289414687,88.84420812,11.15579188
0.125,1.2778,5.324743514,94.16895164,5.831048364
0.063,0.6135,2.556526957,96.72547859,3.274521406
0.053,0.0962,0.400876762,97.12635536,2.873644645
0.038,0.2961,1.233883671,98.36023903,1.639760974
0.025,0.2964,1.235133806,99.59537283,0.404627168
pan,0.0971,0.404627168,100,0
TOTAL,23.9974,,,
,,,,
