Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,39.3478,62.07756106,62.07756106,37.92243894
0.85,4.2192,6.656474965,68.73403602,31.26596398
0.3,14.1823,22.37488739,91.10892342,8.891076581
0.25,1.1282,1.779919192,92.88884261,7.111157389
0.125,2.5188,3.973817108,96.86265972,3.137340281
0.063,1.0663,1.682261864,98.54492158,1.455078418
0.053,0.1722,0.271673537,98.81659512,1.18340488
0.038,0.404,0.637375779,99.4539709,0.546029102
0.025,0.3025,0.477243003,99.9312139,0.068786099
pan,0.0436,0.068786099,100,0
TOTAL,63.3849,,,
,,,,
