Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,14.7331,47.13340137,47.13340137,52.86659863
0.85,3.0781,9.847304556,56.98070592,43.01929408
0.3,11.533,36.89580048,93.8765064,6.1234936
0.25,0.3895,1.246069044,95.12257544,4.877424556
0.125,0.6993,2.237165809,97.35974125,2.640258747
0.063,0.3379,1.080992888,98.44073414,1.559265859
0.053,0.063,0.201546469,98.64228061,1.35771939
0.038,0.1565,0.500667023,99.14294763,0.857052367
0.025,0.185,0.591842807,99.73479044,0.26520956
pan,0.0829,0.26520956,100,0
TOTAL,31.2583,,,
,,,,
