Sieve Size (mm),Weight (g),Percent Retained (%),Cumulative Retained (%),Percent Passing (%)
5,0,0,0,100
1,17.6491,50.36383664,50.36383664,49.63616336
0.85,3.3918,9.678910602,60.04274724,39.95725276
0.3,11.5226,32.88112958,92.92387681,7.076123185
0.25,0.4793,1.367740389,94.2916172,5.708382796
0.125,0.9495,2.70951283,97.00113003,2.998869966
0.063,0.4466,1.274426993,98.27555703,1.724442973
0.053,0.0857,0.244555292,98.52011232,1.479887681
0.038,0.182,0.519358963,99.03947128,0.960528719
0.025,0.233,0.664893617,99.7043649,0.295635102
pan,0.1036,0.295635102,100,0
TOTAL,35.0432,,,
,,,,
