season,start,end
spring,2023-04-17 17:55:00,2023-04-21 05:58:00
spring,2023-04-21 06:17:00,2023-04-21 11:43:00
spring,2023-04-21 11:46:00,2023-04-21 13:44:00
spring,2023-04-21 13:45:00,2023-04-21 18:13:00
spring,2023-04-21 18:16:00,2023-04-21 21:23:00
spring,2023-04-21 21:37:00,2023-04-21 22:39:00
spring,2023-04-21 22:47:00,2023-04-21 23:54:00
spring,2023-04-22 00:04:00,2023-04-22 00:43:00
spring,2023-04-22 01:19:00,2023-04-22 01:39:00
spring,2023-04-22 01:59:00,2023-04-22 02:35:00
spring,2023-04-22 02:53:00,2023-04-22 03:12:00
spring,2023-04-22 03:16:00,2023-04-22 05:10:00
spring,2023-04-22 05:21:00,2023-04-22 05:40:00
spring,2023-04-22 05:48:00,2023-04-22 06:19:00
spring,2023-04-22 07:00:00,2023-04-22 07:42:00
spring,2023-04-22 07:48:00,2023-04-22 08:08:00
spring,2023-04-22 08:40:00,2023-04-22 10:20:00
spring,2023-04-22 10:40:00,2023-04-22 10:50:00
spring,2023-04-22 11:06:00,2023-04-22 12:41:00
spring,2023-04-22 12:47:00,2023-04-22 20:14:00
spring,2023-04-22 20:15:00,2023-04-22 21:45:00
spring,2023-04-22 22:07:00,2023-04-22 22:23:00
spring,2023-04-22 22:39:00,2023-04-22 23:08:00
spring,2023-04-22 23:37:00,2023-04-23 00:37:00
spring,2023-04-23 00:49:00,2023-04-23 01:24:00
spring,2023-04-23 02:04:00,2023-04-23 03:14:00
spring,2023-04-23 03:44:00,2023-04-23 04:10:00
spring,2023-04-23 04:17:00,2023-04-23 04:56:00
spring,2023-04-23 05:08:00,2023-04-23 06:59:00
spring,2023-04-23 07:31:00,2023-04-23 08:04:00
spring,2023-04-23 09:17:00,2023-04-23 09:52:00
spring,2023-04-23 10:02:00,2023-04-23 10:32:00
spring,2023-04-23 10:55:00,2023-04-23 11:22:00
spring,2023-04-23 11:38:00,2023-04-23 11:55:00
spring,2023-04-23 12:03:00,2023-04-23 14:28:00
spring,2023-04-23 14:32:00,2023-04-23 20:20:00
spring,2023-04-23 20:53:00,2023-04-23 21:13:00
spring,2023-04-23 21:30:00,2023-04-23 22:15:00
spring,2023-04-23 22:38:00,2023-04-23 23:10:00
spring,2023-04-23 23:19:00,2023-04-24 00:00:00
spring,2023-04-24 00:46:00,2023-04-24 01:13:00
spring,2023-04-24 01:21:00,2023-04-24 02:04:00
spring,2023-04-24 02:23:00,2023-04-24 03:24:00
spring,2023-04-24 03:34:00,2023-04-24 03:56:00
spring,2023-04-24 04:13:00,2023-04-24 04:24:00
spring,2023-04-24 04:36:00,2023-04-24 05:01:00
spring,2023-04-24 05:08:00,2023-04-24 05:27:00
spring,2023-04-24 05:46:00,2023-04-24 06:06:00
spring,2023-04-24 06:41:00,2023-04-24 06:52:00
spring,2023-04-24 07:28:00,2023-04-24 07:45:00
spring,2023-04-24 07:56:00,2023-04-24 08:21:00
spring,2023-04-24 08:56:00,2023-04-24 09:28:00
spring,2023-04-24 10:14:00,2023-04-24 10:20:00
spring,2023-04-24 10:31:00,2023-04-24 11:42:00
spring,2023-04-24 12:23:00,2023-04-25 02:57:00
spring,2023-04-25 03:03:00,2023-04-25 03:27:00
spring,2023-04-25 03:37:00,2023-04-25 04:12:00
spring,2023-04-25 04:22:00,2023-04-25 05:11:00
spring,2023-04-25 05:24:00,2023-04-25 05:59:00
spring,2023-04-25 06:01:00,2023-04-25 06:39:00
spring,2023-04-25 06:48:00,2023-04-25 10:09:00
spring,2023-04-25 10:33:00,2023-04-25 10:52:00
spring,2023-04-25 11:09:00,2023-04-25 11:27:00
spring,2023-04-25 11:46:00,2023-04-25 12:25:00
spring,2023-04-25 12:52:00,2023-04-25 14:14:00
spring,2023-04-25 14:32:00,2023-04-25 16:22:00
spring,2023-04-25 16:35:00,2023-04-25 17:40:00
spring,2023-04-25 17:47:00,2023-04-25 18:13:00
spring,2023-04-25 18:15:00,2023-04-25 19:12:00
spring,2023-04-25 19:18:00,2023-04-25 20:33:00
spring,2023-04-25 21:42:00,2023-04-25 21:46:00
spring,2023-04-25 22:59:00,2023-04-25 23:04:00
spring,2023-04-26 00:01:00,2023-04-26 00:24:00
spring,2023-04-26 00:43:00,2023-04-26 00:45:00
spring,2023-04-26 04:44:00,2023-04-26 04:45:00
spring,2023-04-26 06:52:00,2023-04-26 07:21:00
spring,2023-04-26 07:52:00,2023-04-26 08:29:00
