,minute,rms,rms_dB,recording,tau
2023-09-20 13:54:00,0,0.0002977993059508808,-70.52152637493097,flood2,0.3159769989060917
2023-09-20 13:55:00,1,0.0004520782589248935,-66.8957275658386,flood2,0.3322531919305749
2023-09-20 13:56:00,2,0.0002899785580239715,-70.75268228175514,flood2,0.3203855814448115
2023-09-20 13:57:00,3,0.005072320450887178,-45.89586634205408,flood2,2.5541050561941474
2023-09-20 13:58:00,4,0.00039598060151741643,-68.04652177948446,flood2,0.3690945473527536
2023-09-20 13:59:00,5,0.0003552892773575749,-68.9883579867013,flood2,0.3487128597470857
2023-09-20 14:00:00,6,0.00034793878183040516,-69.1699432275059,flood2,0.3680621025748437
2023-09-20 14:01:00,7,0.00034193637482084254,-69.32109393939493,flood2,0.3573649996433695
2023-09-20 14:02:00,8,0.00033645927463490553,-69.46134991389398,flood2,0.3423873847479826
2023-09-20 14:03:00,9,0.0003182983340935988,-69.94331268757685,flood2,0.3632832508021603
2023-09-20 14:04:00,10,0.00030819794228472444,-70.22340530439435,flood2,0.3683273251204114
2023-09-20 14:05:00,11,0.000313210387027366,-70.08327687647935,flood2,0.3634278355852862
2023-09-20 14:06:00,12,0.0002611095793786811,-71.66354389674785,flood2,0.4668654551120001
2023-09-20 14:07:00,13,0.00026619323485059163,-71.49605972135848,flood2,0.3749765478233243
2023-09-20 14:08:00,14,0.00026857188624571955,-71.41878901334401,flood2,0.3957312085610096
2023-09-20 14:09:00,15,0.0002984642906803037,-70.50215243898015,flood2,0.4365164299792822
2023-09-20 14:10:00,16,0.00028935267268729036,-70.77145003597715,flood2,0.3686852007813858
2023-09-20 14:11:00,17,0.0005263676363264273,-65.57421642271996,flood2,0.3706484489361737
2023-09-20 14:12:00,18,0.00013383212119242674,-77.46879277136317,flood2,0.3421648104604812
2023-09-20 14:13:00,19,0.00010230583889758423,-79.80199158213276,flood2,0.4602669500047358
2023-09-20 15:05:00,0,0.0004485058301783205,-66.96463814279618,flood3,0.4243396605684979
2023-09-20 15:06:00,1,0.000442547209839052,-67.08080786072651,flood3,0.4454738688576617
2023-09-20 15:07:00,2,0.0004253967875653578,-67.424115880951,flood3,0.4600384538929169
2023-09-20 15:08:00,3,0.0004114426431768775,-67.71381397394128,flood3,0.4239291966400108
2023-09-20 15:09:00,4,0.0004276847844412263,-67.37752400355018,flood3,0.5740115810170139
2023-09-20 15:10:00,5,0.0009830639347281284,-60.148364727859935,flood3,1.9954383578791768
2023-09-20 15:11:00,6,0.0005229190641885025,-65.63131049402676,flood3,0.3863923344513276
2023-09-20 15:12:00,7,0.00037642855782340096,-68.48634872324592,flood3,0.4034727075662728
2023-09-20 15:13:00,8,0.00035702651965155923,-68.94599047268196,flood3,0.3992220278434313
2023-09-20 15:14:00,9,0.0003432260026008824,-69.28839635362864,flood3,0.4122126029661457
2023-09-20 15:15:00,10,0.000371691213105471,-68.59635411275933,flood3,0.4119353615064173
2023-09-20 15:16:00,11,0.0003576429900502005,-68.93100565773432,flood3,0.3844665855413149
2023-09-20 15:17:00,12,0.00036709633927992184,-68.70439892601706,flood3,0.4294898238012888
2023-09-20 15:18:00,13,0.0003658148097724441,-68.73477432753346,flood3,0.4131909514586639
2023-09-20 15:19:00,14,0.0003512314202383228,-69.08813280373818,flood3,0.4529681463790141
2023-09-20 15:20:00,15,0.00034888170434409964,-69.14643609459964,flood3,0.4574031065069059
2023-09-20 15:21:00,16,0.0003537490992154273,-69.0260931470219,flood3,0.4908466086629295
2023-09-20 15:22:00,17,0.00041788257152355717,-67.5789148288138,flood3,0.4626780593724431
