,minute,rms,rms_dB,recording,tau
2023-09-20 15:23:00,18,0.0004200759705139371,-67.53344321150031,flood3,0.51066082864599
2023-09-20 15:24:00,19,0.00046231678693556467,-66.70120673685715,flood3,0.4994888076055125
2023-09-21 10:35:00,9,0.0005167042669092514,-65.73515904129535,flood4,0.5538481420705735
2023-09-21 10:36:00,10,0.0004995757185010769,-66.02797356677726,flood4,0.5826688378136954
2023-09-21 10:37:00,11,0.0006213794662262601,-64.13286204614522,flood4,1.4703597252575615
2023-09-21 10:38:00,12,0.00039630149751140024,-68.0394857317311,flood4,0.9098854050123988
2023-09-21 10:39:00,13,0.0006115210319962372,-64.27177203427645,flood4,0.5521520970938422
2023-09-21 10:40:00,14,0.00045204470839707274,-66.89637220421771,flood4,0.5592529246095596
2023-09-21 10:41:00,15,0.000451917568922908,-66.89881549079333,flood4,0.5249321709605024
2023-09-21 10:42:00,16,0.0004908653133657847,-66.18075311828265,flood4,0.566392890326803
2023-09-21 10:43:00,17,0.0005350421210624396,-65.43224053808322,flood4,0.55313073676003
2023-09-21 10:44:00,18,0.0005603982729767818,-65.03006423566993,flood4,0.5490219821637602
2023-09-21 10:45:00,19,0.0004850176053440546,-66.28484993867612,flood4,0.5151880811172947
2023-09-21 10:46:00,0,0.000461348371400889,-66.71942016293299,flood44,0.5085881605324211
2023-09-21 10:47:00,1,0.0004117211495350642,-67.70793646668348,flood44,0.4663893438078892
2023-09-21 10:48:00,2,0.00048302987356730785,-66.32052017899733,flood44,0.4635792503294187
2023-09-21 10:49:00,3,0.00043350950492581015,-67.26002751893067,flood44,0.4799496602072171
2023-09-21 10:50:00,4,0.0003728635210280827,-68.5690020721765,flood44,0.4793918530573128
2023-09-21 10:51:00,5,0.00026958943756065626,-71.38594254681328,flood44,0.464886001058396
2023-09-21 10:52:00,6,0.00020387545819082375,-73.81270099829537,flood44,0.3377848072911925
2023-09-21 10:53:00,7,0.0002009838995153196,-73.93677463584078,flood44,0.5272033295019658
2023-09-21 10:54:00,8,0.00032004757962545485,-69.89570905655543,flood44,0.5319387774994854
2023-09-21 10:55:00,9,0.00044054927549718446,-67.12011017274922,flood44,0.5247512166377036
2023-09-21 10:56:00,10,0.0004299308261977264,-67.33202829386317,flood44,0.4468769559365693
2023-09-21 10:57:00,11,0.0004147752877951819,-67.64374253331171,flood44,0.4979052694833855
2023-09-21 10:58:00,12,0.00040332139211431286,-67.88697484916996,flood44,0.5008234277233398
2023-09-21 10:59:00,13,0.000399905417599716,-67.96085424702576,flood44,0.4711385090648288
2023-09-21 11:00:00,14,0.00030337726998936823,-70.36033922167692,flood44,0.468269196522468
2023-09-21 11:01:00,15,0.000234686006488475,-72.59025610202205,flood44,0.3756956056975661
2023-09-21 11:02:00,16,0.0003951903068395355,-68.06387432509551,flood44,0.5619911648521553
2023-09-21 11:03:00,17,0.0005303652105357374,-65.50849942690286,flood44,0.4913920490053751
2023-09-21 11:04:00,18,0.0005204857425413972,-65.67182324892492,flood44,0.4780841181415172
2023-09-21 11:05:00,19,0.00037725153503153166,-68.4673796882049,flood44,0.2960637942588215
2023-09-21 11:24:00,0,0.0003973316660519665,-68.01693643392382,flood5,0.5152331499313898
2023-09-21 11:25:00,1,0.0037394904271977492,-48.54375148397879,flood5,0.7342589239566621
2023-09-21 11:26:00,2,0.0002612377514458868,-71.65928126004205,flood5,1.2420534069705385
2023-09-21 11:27:00,3,0.00022409464791377383,-72.99137031323195,flood5,0.5824589604216939
2023-09-21 11:28:00,4,0.00022754292991272783,-72.85873308208745,flood5,0.6028697877157703
2023-09-21 11:29:00,5,0.00021945389251257753,-73.17313423105861,flood5,0.5899098604121282
2023-09-21 11:30:00,6,0.0002171792424335959,-73.26363372230344,flood5,0.6143909623588112
2023-09-21 11:31:00,7,0.00022146805133143693,-73.09377831263009,flood5,0.6306395967208378
2023-09-21 11:32:00,8,0.000225867253381688,-72.92293458535772,flood5,0.6579770776009953
2023-09-21 11:33:00,9,0.00021189729739098104,-73.47749164781985,flood5,0.6268608848855458
2023-09-21 11:34:00,10,0.00022524855731379697,-72.94675963873502,flood5,0.6478117094503183
