Date_Time,WSE,Q,SS (uL/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),N (mg/L),PP (mg/L),LAB ID,P1,P2,P3,P1_EMA,P2_EMA,P3_EMA
2023-04-17 16:30:00,,,103.31,,,3.829,,,,190,16.137999999999998,20.69530769230769,26.735179487179483,16.076592054780367,20.695110002981963,26.734535298249863
2023-04-17 20:30:00,,,65.48,,,3.473,,,,191,15.264,20.955492307692307,27.122953846153845,15.331607090384447,20.95412394070682,27.120635130877208
2023-04-18 00:30:00,,,73.68,,,3.421,,,,192,15.089,21.21567692307692,27.510728205128203,15.044253360870584,21.213137878431674,27.506734963504552
2023-04-18 04:30:00,,,48.9,,,3.346,,,,193,14.914,21.475861538461537,27.89850256410256,14.855736103637232,21.472151816156533,27.892834796131897
2023-04-18 08:30:00,,,0.0,,,3.271,,,,211,14.796999999999999,21.736046153846154,28.286276923076922,14.894716329925933,21.73116575388139,28.278934628759238
2023-04-18 12:30:00,,,0.0,,,3.409,,,,212,15.089,21.996230769230767,28.67405128205128,15.268086555548155,21.990179691606244,28.665034461386583
2023-04-18 16:30:00,,,93.48,,,4.663,,,,213,15.439,22.256415384615384,29.06182564102564,15.379444632857615,22.2491936293311,29.051134294013927
2023-04-18 21:30:00,,,53.79,,,3.581,,,,214,16.371,22.581646153846155,29.54654358974359,16.24817990986824,22.57296105148717,29.53375908479811
2023-04-19 02:30:00,,,47.58,,,3.586,1.577,0.57,,215,16.721,22.906876923076922,30.031261538461536,16.702688540692343,22.89672847364324,30.01638387558229
2023-04-19 07:30:00,,,30.72,,,3.401,,,,216,16.313,23.232107692307693,30.515979487179486,16.1555986852604,23.22049589579931,30.49900866636647
2023-04-19 12:30:00,,,0.0,,,3.146,,,,217,15.497,23.55733846153846,31.000697435897436,15.668430972211404,23.54426331795538,30.98163345715065
2023-04-19 17:30:00,,,0.0,,,3.994,,,,218,15.964,24.126,31.830000000000002,16.037917014935104,23.89299937121915,31.494858877819524
2023-04-19 22:30:00,,,22.36,,,3.533,,,,219,16.721,23.204,30.490000000000002,16.65120548993882,23.181977956109677,30.457790261762568
2023-04-20 03:30:00,,,30.83,,,3.434,,,,220,16.605,23.102,30.34,16.521076002484953,23.095941524606047,30.331331798046584
2023-04-20 08:30:00,,,0.0,,,3.428,,,,221,16.195999999999998,22.624,29.630000000000003,16.277537561886785,22.655015809362627,29.67892087995419
2023-04-20 18:30:00,,,0.0,,,3.481,,,,236,16.546,22.726,29.79,16.471611554773236,22.741048820984787,29.8112326740047
2023-04-20 23:30:00,,,24.91,,,3.283,,,,237,16.546,22.692,29.73,16.605603210734113,22.636761436701995,29.65063868818077
2023-04-21 09:30:00,,,0.0,,,3.084,,,,238,16.429,22.487,29.43,16.37991844458653,22.238944737633766,29.060928036387246
2023-04-21 14:30:00,,,0.0,,,3.289,,,,239,16.43,22.078,28.82,16.29636131840457,22.07277885266401,28.813195377722074
2023-04-21 19:30:00,,,67.13,,,3.864,,,,240,16.021,22.009,28.720000000000002,16.151005748825373,22.146374903577424,28.925285271347096
2023-04-22 00:30:00,,,0.0,,,3.344,,,,241,16.021,21.736,28.310000000000002,16.235201707077255,21.886388005066397,28.535002175496913
2023-04-22 05:30:00,,,51.68,,,3.184,1.065,0.585,,242,16.021,21.839,28.470000000000002,16.173522282307186,21.98606908517228,28.68626644625158
2023-04-22 10:30:00,,,0.0,,,3.246,,,,243,15.672,21.770999999999997,28.360000000000003,15.799984422780259,21.85145281607619,28.48149063022053
2023-04-22 15:30:00,,,57.56,,,3.886,,,,244,15.789,21.770999999999997,28.360000000000003,15.980501384344134,21.82566136273185,28.444438875325723
2023-04-22 20:30:00,,,63.54,,,3.471,,,,245,16.721,21.839,28.470000000000002,16.72661329958933,21.962518702788284,28.652414605491234
2023-04-23 01:30:00,,,0.0,,,3.378,,,,246,17.071,22.453,29.38,16.796916337082536,22.232545944230452,29.052560526053124
2023-04-23 11:30:00,,,0.0,,,3.168,,,,247,15.847,21.566,28.060000000000002,15.894013463163892,21.51250209357503,27.977539753052046
2023-04-23 16:00:00,,,0.0,,,3.797,,,,248,16.43,22.146,28.92,16.415377201929875,22.1204651353029,28.88456214751265
2023-04-23 21:00:00,,,0.0,,,3.184,,,,249,16.429,22.487,29.43,16.34775691516776,22.47149191619703,29.40755021031422
2023-04-24 02:00:00,,,66.59,,,3.399,,,,250,16.255,22.384999999999998,29.28,16.34593036071046,22.409769213894034,29.31735557225937
2023-04-24 07:00:00,,,0.0,,,3.23,,,,251,16.195999999999998,22.112000000000002,28.87,16.08726939746171,21.98902272167841,28.68895833074916
2023-04-24 12:00:00,,,46.75,,,3.664,1.263,0.622,,252,15.789,21.668000000000003,28.21,15.746009577326936,21.868662822855853,28.508278182742313
2023-04-24 17:00:00,,,27.12,,,4.541,1.627,0.766,,253,16.195999999999998,23.033,30.240000000000002,15.993784542781992,23.06479416944809,30.285870199302167
2023-04-24 22:00:00,,,14.59,,,3.458,1.637,0.634,,269,16.137999999999998,23.033,30.240000000000002,16.112111778667863,22.911212724487807,30.059521791424388
2023-04-25 03:00:00,,,0.0,,,3.236,,,,270,16.195999999999998,22.316,29.18,16.204725618455285,22.45734455867155,29.388277687864196
2023-04-25 13:00:00,,,0.0,,,3.283,,,,271,15.903999999999998,21.701999999999998,28.26,15.831593308031671,21.786821862343146,28.386469574082263
2023-04-25 18:00:00,,,0.0,,,3.128,,,,272,16.137999999999998,21.975,28.67,16.160571797416576,22.00593502913016,28.71611567162258
2023-04-26 13:30:00,,,0.0,,,3.044,,,,273,16.488,21.019,27.229999999999997,16.593312554821964,21.143509092521178,27.41882408315754
2023-04-26 19:00:00,,,0.0,,,3.027,,,,274,16.896,21.566,28.060000000000002,16.949113296162075,21.344340065831137,27.723393121935647
2023-04-27 00:00:00,,,0.0,,,2.955,,,,283,17.655,21.361,27.750000000000004,17.52424030792322,21.358907504622138,27.744567894034173
2023-04-27 05:00:00,,,0.0,,,2.523,,,,284,17.246,21.532,28.000000000000004,17.324277477257752,21.434374034996566,27.856087404094993
2023-04-27 10:00:00,,,0.0,,,2.681,,,,285,16.021,21.019,27.229999999999997,16.195919988178105,21.010487218760275,27.21580407775912
2023-04-27 15:00:00,,,0.0,,,3.456,,,,286,16.313,21.292,27.639999999999997,16.32347964522501,21.216367529208867,27.52713361908835
2023-04-27 20:00:00,,,0.0,,,3.146,,,,287,16.255,21.873,28.52,16.392346628870662,21.817379903294132,28.434846763629324
2023-04-28 01:00:00,,,0.0,,,3.026,,,,288,16.137,21.77,28.360000000000003,16.195440502292964,21.79658666441667,28.40160176016464
2023-04-28 06:00:00,,,0.0,,,2.791,,,,289,16.371,21.770999999999997,28.360000000000003,16.359842589926107,21.835291695143898,28.45776629526916
2023-04-28 11:00:00,,,0.0,,,2.697,,,,290,15.264,21.634,28.16,15.327174306272454,21.552841980237787,28.03698463303975
2023-04-28 16:00:00,,,56.02,,,3.116,,,,291,15.322,21.532,28.000000000000004,15.36016151536988,21.564848311084294,28.051201478435196
2023-04-28 21:00:00,,,0.0,,,2.977,,,,302,15.672,21.701999999999998,28.26,15.68600308268949,21.74374554200805,28.322528784980616
2023-04-29 02:00:00,,,0.0,,,2.826,,,,303,16.021,21.77,28.360000000000003,16.073212196963524,21.752191188129956,28.334517416570947
2023-04-29 12:00:00,,,0.0,,,2.944,,,,304,15.903999999999998,21.565,28.050000000000004,15.77758589847904,21.436598249769702,27.86025603711427
2023-04-29 17:00:00,,,0.0,,,4.681,,,,305,15.73,22.146,28.92,15.81089360299866,22.20722307075177,29.01301124199585
2023-04-29 22:00:00,,,0.0,,,3.395,,,,306,16.195999999999998,22.59,29.580000000000002,16.044028703665404,22.496007986663898,29.44290747462152
2023-04-30 03:00:00,,,0.0,,,3.114,,,,307,15.847,22.248,29.080000000000002,15.931514806007751,22.270596802581657,29.110403085199454
2023-04-30 08:00:00,,,0.0,,,2.943,,,,308,15.963,21.77,28.360000000000003,15.837538752080722,21.904028212417135,28.562277220750694
2023-04-30 13:00:00,,,43.66,,,4.104,,,,309,16.021,22.18,28.970000000000002,15.961992285682674,22.205993217424886,29.01070016839474
2023-04-30 18:00:00,,,85.5,,,4.979,,,,310,14.505,22.896,30.04,14.691352391055053,22.94536800458305,30.11151112534094
2023-04-30 23:00:00,,,0.0,,,3.871,,,,311,14.038999999999998,22.897000000000002,30.04,14.240520579114637,22.88887777503315,30.0263730758906
2023-05-01 04:00:00,,,0.0,,,3.474,,,,312,14.097000000000001,22.795,29.89,14.280145525601492,22.900085680273182,30.043949201108067
2023-05-01 09:00:00,,,0.0,,,3.269,,,,313,14.447,22.795,29.89,14.421427877394999,22.692119551594338,29.736841239869793
2023-05-01 14:00:00,,,0.0,,,4.688,,,,314,14.621999999999998,22.726,29.79,14.468760908368731,22.725188016384365,29.78557870388891
2023-05-01 20:00:00,,,64.14,,,3.955,,,,328,14.389,23.375,30.740000000000002,14.44846588094921,23.288861104473067,30.613993749567676
2023-05-02 03:00:00,,,0.0,,,3.223,,,,329,14.097000000000001,23.544999999999998,30.990000000000002,14.253959683948757,23.484129652705647,30.900418129470157
2023-05-02 10:00:00,,,0.0,,,3.044,,,,330,14.038999999999998,23.169999999999998,30.44,14.046232297981176,23.100109265594067,30.33763239157571
2023-05-02 17:00:00,,,0.0,,,3.478,,,,331,14.272000000000002,24.637,32.57,14.201577487597856,24.531515009684192,32.41458571246358
2023-05-03 00:00:00,,,0.0,,,3.189,,,,332,14.330000000000002,23.852999999999998,31.44,14.371901414583393,23.94720838155731,31.57622842175628
2023-05-03 07:00:00,,,0.0,,,2.729,,,,333,14.972,25.116,33.26,14.909746623297126,24.55734386540417,32.45529891156553
2023-05-03 14:00:00,,,39.62,,,3.419,,,,334,14.621999999999998,24.057000000000002,31.730000000000004,14.504284457070693,24.113865413199385,31.814715406131462
2023-05-03 20:00:00,,,87.1,,,4.004,,,,335,14.038999999999998,26.755000000000003,35.589999999999996,14.003454499983349,26.82003407866035,35.677692345297864
2023-05-03 23:00:00,,,0.0,,,,,,,-,14.097000000000001,26.515,35.25,14.122177011407672,26.645497550981357,35.431975631602306
2023-05-04 02:00:00,,,26.28,,,,,,,-,14.213999999999999,26.208,34.82,14.189427839996801,25.999890296065015,34.521713893940564
2023-05-04 05:00:00,,,0.0,,,2.944,,,,336,14.213000000000001,25.319999999999997,33.550000000000004,14.192308949723314,25.405287614272765,33.67265299369522
2023-05-04 08:00:00,,,0.0,,,,,,,-,14.097000000000001,24.331,32.129999999999995,14.089170388684586,24.665454905666024,32.611311687857494
2023-05-04 11:00:00,,,35.26,,,,,,,-,13.747000000000002,23.716,31.240000000000002,13.962785086938787,24.05582536728006,31.731071736676668
2023-05-04 14:00:00,,,0.0,,,3.504,,,,337,14.097000000000001,24.843,32.87,14.076397941799906,24.526011677035214,32.411691482764226
2023-05-04 17:00:00,,,72.78,,,,,,,-,13.864,25.252000000000002,33.46,13.983134083541158,25.341798334106635,33.58391279909806
2023-05-04 20:00:00,,,25.16,,,3.575,2.292,1.05,,338,14.213999999999999,25.628,33.989999999999995,14.164909637953757,26.013771113949336,34.53739617648045
2023-05-04 23:00:00,,,15.19,,,3.219,1.691,0.989,,339,14.389,25.491000000000003,33.800000000000004,14.31512197642792,25.367269676376303,33.61938004605073
2023-05-05 02:00:00,,,99.54,,,,,,,-,14.389,25.15,33.31,14.505389710071237,25.236364064287937,33.43207203527071
2023-05-05 05:00:00,,,0.0,,,2.711,,,,340,14.972,24.227999999999998,31.979999999999997,14.83761743838287,24.481755343042426,32.34684367036789
2023-05-05 08:00:00,,,40.12,,,,,,,-,14.389,24.433,32.28,14.2427333453881,24.26845673582341,32.039479217988145
2023-05-05 11:00:00,,,25.61,,,2.717,1.356,0.951,,341,14.097000000000001,24.16,31.879999999999995,13.977726387266898,24.072917070897397,31.75642556192922
2023-05-05 14:00:00,,,0.0,,,,,,,-,14.038999999999998,23.990000000000002,31.64,13.888834751618981,24.08474399812657,31.77588874729789
2023-05-05 17:00:00,,,30.82,,,3.833,1.71,0.635,,342,13.572000000000001,24.911,32.97,13.65153360322302,24.725174946330007,32.700459142217184
