Sample,Source,d13C,d15N,%C,%N,C/N,order
69,experiments,-28.91,-7.69,14.347,18.616,0.8,1
71,experiments,-28.88,-3.98,31.835,0.763,41.7,2
73,experiments,-27.86,-2.58,29.802,2.511,11.9,3
76,experiments,-28.19,-2.66,10.643,1.391,7.7,4
78,experiments,-28.04,-2.07,19.443,2.735,7.1,5
