Sample,Source,d13C,d15N,%C,%N,C/N,order
44,experiments,-26.37,1.22,11.845,0.86,13.8,1
45,experiments,-26.25,-2.29,8.568,0.58,14.8,2
46,experiments,-26.44,-4.11,8.3,0.781,10.6,3
47,experiments,-26.4,-3.75,9.212,1.305,7.1,4
49,experiments,-26.45,-2.96,11.633,1.822,6.4,5
53,experiments,-26.84,8.49,11.914,2.892,4.1,6
