Sample,Source,d13C,d15N,%C,%N,C/N,order
1,experiments,-26.5,-2.67,6.57,0,0,1
2,experiments,-26.63,-1.76,8.499,0,0,2
4,experiments,-26.68,0.59,10.355,0,0,3
5,experiments,-28.53,-9.4,13.205,0.383,34.5,4
11,experiments,-29.5,-11.73,10.585,0,0,5
12,experiments,-29.52,-8.13,25.833,0,0,6
