Sample,Source,d13C,d15N,%C,%N,C/N,order
34,experiments,-27.91,0.31,12.011,0.947,12.7,1
37,experiments,-26.96,-11.56,10.598,0.749,14.1,2
42,experiments,-26.62,-2.94,18.376,1.262,14.6,3
