Sample,Source,d13C,d15N,%C,%N,C/N,order
15,experiments,-27.99,-1.15,14.583,0,0,1
16,experiments,-26.96,-11.78,9.999,0,0,2
17,experiments,-27.29,-10.36,7.408,0,0,3
19,experiments,-27.22,-10.31,9.205,0.123,74.7,4
22,experiments,-28.26,-4.09,13.436,0.483,27.8,5
