Sample,Source,d13C,d15N,%C,%N,C/N,order
56,experiments,-26.36,391.2,8.555,2.08,4.1,1
57,experiments,-27.07,-1.29,8.517,0.697,12.2,2
59,experiments,-26.54,-2.64,8.617,1.271,6.8,3
61,experiments,-26.75,-3.42,6.77,2.442,2.8,4
65,experiments,-26.95,-3.12,11.603,6.808,1.7,5
