Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp C,Vertical Position m,Battery V,Cable Pwr V
7/11/2021,13:00:00,41.5,-1.026,38.91,12.84,53.6,34.5,41.3,3.57,-1.459,0.02,52.8,34,1.79,0,1.198,17.1,-568.6,13.83,-1.026,6.19,0
7/11/2021,13:15:00,41.7,-1.028,38.51,12.71,53.6,34.5,41.3,3.56,-1.461,0.02,52.8,34,2.26,0,1.202,17.1,-568.9,14.005,-1.028,6.19,0
7/11/2021,13:30:00,42,-1.03,38.48,12.7,53.8,34.5,41.3,3.54,-1.463,0.02,52.9,34,2.04,0,1.195,17.09,-568.7,14.181,-1.03,6.2,0
7/11/2021,13:45:00,42.4,-1.032,38.52,12.71,54.4,34.5,41.2,3.55,-1.467,0.02,53.6,35,1.83,0,1.189,17.09,-568.7,14.066,-1.032,6.2,0
7/11/2021,14:00:00,42.8,-1.033,38.58,12.73,55.4,34.4,41.1,3.57,-1.467,0.02,54.5,35,1.81,0,1.186,17.1,-568.4,13.776,-1.032,6.21,0
7/11/2021,14:15:00,42.9,-1.029,38.5,12.7,55.8,34.4,41.1,3.58,-1.463,0.02,54.9,36,2.46,0,1.186,17.1,-568.1,13.511,-1.029,6.21,0
7/11/2021,14:30:00,42.5,-1.027,39.18,12.93,55.6,34.4,41.1,3.6,-1.46,0.02,54.7,36,2.14,0,1.193,17.1,-567.7,13.295,-1.027,6.2,0
7/11/2021,14:45:00,42.2,-1.023,39.56,13.05,55.5,34.3,41,3.61,-1.455,0.02,54.6,36,1.94,0,1.201,17.1,-567.3,13.107,-1.024,6.21,0
7/11/2021,15:00:00,42.3,-1.025,39.76,13.12,55.9,34.3,41,3.62,-1.457,0.02,55,36,1.9,0,1.197,17.1,-567,12.926,-1.025,6.2,0
7/11/2021,15:15:00,42.5,-1.029,39.91,13.17,56.5,34.3,41,3.63,-1.463,0.03,55.5,36,1.67,0,1.19,17.1,-566.7,12.739,-1.028,6.21,0
7/11/2021,15:30:00,42.6,-1.027,40.04,13.21,56.9,34.3,41,3.65,-1.46,0.03,55.9,36,1.72,0,1.189,17.11,-566.5,12.565,-1.027,6.21,0
7/11/2021,15:45:00,42.5,-1.029,40.07,13.22,56.9,34.3,41,3.66,-1.463,0.03,56,36,1.61,0,1.185,17.11,-566.5,12.405,-1.029,6.21,0
7/11/2021,16:00:00,42.4,-1.024,39.97,13.19,57,34.3,41,3.67,-1.456,0.03,56.1,36,1.62,0,1.197,17.12,-566.4,12.257,-1.024,6.21,0
7/11/2021,16:15:00,42.5,-1.026,39.87,13.15,57.3,34.3,41,3.68,-1.458,0.03,56.3,37,1.59,0,1.201,17.12,-566.4,12.11,-1.026,6.2,0
7/11/2021,16:30:00,42.4,-1.03,39.97,13.19,57.4,34.3,41,3.7,-1.465,0.03,56.5,37,1.57,0,1.197,17.13,-566.5,11.971,-1.03,6.21,0
7/11/2021,16:45:00,42.1,-1.033,39.98,13.19,57.2,34.3,41,3.71,-1.468,0.03,56.2,37,1.63,0,1.197,17.14,-566.7,11.848,-1.033,6.21,0
7/11/2021,17:00:00,41.5,-1.033,39.94,13.18,56.5,34.3,41,3.71,-1.469,0.03,55.5,36,1.58,0,1.199,17.14,-566.9,11.809,-1.033,6.21,0
7/11/2021,17:15:00,41.1,-1.033,39.84,13.14,55.9,34.3,41,3.71,-1.469,0.02,55,36,1.57,0,1.198,17.14,-566.9,11.791,-1.033,6.21,0
7/11/2021,17:30:00,40.8,-1.034,39.67,13.09,55.6,34.3,41,3.71,-1.47,0.02,54.6,36,1.69,0,1.197,17.14,-566.8,11.782,-1.033,6.2,0
7/11/2021,17:45:00,40.7,-1.032,39.5,13.03,55.4,34.3,41,3.72,-1.467,0.02,54.5,35,1.66,0,1.195,17.14,-566.7,11.792,-1.032,6.21,0
7/11/2021,18:00:00,40.7,-1.033,39.38,12.99,55.4,34.3,41,3.72,-1.468,0.02,54.4,35,1.67,0,1.194,17.13,-566.5,11.814,-1.032,6.21,0
7/11/2021,18:15:00,40.7,-1.032,39.25,12.95,55.3,34.3,41,3.72,-1.468,0.02,54.4,35,1.68,0,1.193,17.13,-566.3,11.783,-1.032,6.2,0
7/11/2021,18:30:00,40.6,-1.033,39.1,12.9,55.4,34.3,41,3.72,-1.468,0.02,54.4,35,1.68,0,1.193,17.13,-566.2,11.73,-1.033,6.21,0
7/11/2021,18:45:00,40.6,-1.036,39.02,12.88,55.4,34.3,41,3.73,-1.472,0.02,54.5,35,1.69,0,1.19,17.13,-566.1,11.658,-1.035,6.2,0
7/11/2021,19:00:00,40.6,-1.035,39,12.87,55.5,34.4,41.1,3.74,-1.472,0.02,54.6,35,1.68,0,1.188,17.13,-566.1,11.579,-1.035,6.21,0
7/11/2021,19:15:00,40.6,-1.037,39,12.87,55.8,34.3,41,3.75,-1.474,0.02,54.8,36,1.64,0,1.197,17.14,-566,11.484,-1.037,6.21,0
7/11/2021,19:30:00,40.7,-1.037,39.07,12.89,56,34.4,41,3.75,-1.474,0.03,55,36,1.56,0,1.203,17.14,-566,11.379,-1.037,6.2,0
7/11/2021,19:45:00,40.8,-1.038,39.11,12.91,56.3,34.4,41.1,3.77,-1.476,0.03,55.3,36,1.77,0,1.201,17.14,-566,11.272,-1.038,6.2,0
7/11/2021,20:00:00,40.9,-1.038,39.06,12.89,56.6,34.4,41.1,3.77,-1.476,0.03,55.6,36,1.62,0,1.19,17.15,-565.9,11.162,-1.038,6.2,0
7/11/2021,20:15:00,41,-1.039,38.91,12.84,56.8,34.4,41.1,3.78,-1.478,0.03,55.8,36,1.6,0,1.19,17.15,-565.8,11.061,-1.039,6.2,0
7/11/2021,20:30:00,41,-1.037,38.81,12.81,57,34.4,41.1,3.79,-1.474,0.03,56,36,1.6,0,1.192,17.15,-565.7,10.96,-1.037,6.21,0
7/11/2021,20:45:00,41,-1.037,38.63,12.75,57.1,34.4,41.1,3.81,-1.474,0.03,56.1,36,1.65,0,1.198,17.15,-565.6,10.857,-1.037,6.2,0
7/11/2021,21:00:00,40.9,-1.037,38.48,12.7,57.1,34.4,41.1,3.82,-1.474,0.03,56.2,37,1.6,0,1.196,17.15,-565.4,10.765,-1.036,6.2,0
7/11/2021,21:15:00,40.8,-1.032,38.36,12.66,57.2,34.5,41.2,3.83,-1.467,0.03,56.2,37,1.53,0,1.195,17.15,-565.2,10.693,-1.031,6.19,0
7/11/2021,21:30:00,40.7,-1.03,38.14,12.58,57.1,34.5,41.2,3.83,-1.464,0.03,56.2,36,1.54,0,1.199,17.15,-564.9,10.62,-1.029,6.2,0
7/11/2021,21:45:00,40.7,-1.028,37.99,12.53,57.2,34.5,41.2,3.84,-1.461,0.03,56.2,37,1.56,0,1.202,17.15,-564.7,10.536,-1.027,6.2,0
7/11/2021,22:00:00,40.5,-1.026,37.87,12.5,57.1,34.5,41.3,3.85,-1.459,0.03,56.1,36,1.62,0,1.202,17.14,-564.5,10.464,-1.025,6.19,0
7/11/2021,22:15:00,40.4,-1.025,37.76,12.46,57,34.5,41.3,3.86,-1.457,0.03,56.1,36,1.47,0,1.201,17.14,-564.2,10.394,-1.024,6.2,0
7/11/2021,22:30:00,40.3,-1.024,37.58,12.4,57,34.5,41.3,3.87,-1.456,0.03,56,36,1.86,0,1.199,17.14,-563.9,10.334,-1.024,6.19,0
7/11/2021,22:45:00,40.2,-1.023,37.45,12.36,56.9,34.6,41.3,3.88,-1.455,0.03,55.9,36,1.86,0,1.198,17.14,-563.7,10.296,-1.023,6.2,0
7/11/2021,23:00:00,40.1,-1.022,37.33,12.32,56.8,34.6,41.3,3.88,-1.453,0.03,55.8,36,1.78,0,1.199,17.13,-563.4,10.281,-1.022,6.2,0
7/11/2021,23:15:00,40.1,-1.021,37.18,12.27,56.8,34.6,41.4,3.88,-1.452,0.03,55.8,36,1.79,0,1.199,17.12,-563,10.278,-1.02,6.19,0
7/11/2021,23:30:00,40.1,-1.02,37.06,12.23,56.7,34.7,41.4,3.89,-1.45,0.03,55.7,36,1.76,0,1.198,17.12,-562.6,10.299,-1.019,6.19,0
7/11/2021,23:45:00,40,-1.02,36.97,12.2,56.6,34.7,41.5,3.89,-1.45,0.03,55.6,36,1.87,0,1.19,17.11,-562.2,10.307,-1.019,6.19,0
7/12/2021,0:00:00,40,-1.018,36.83,12.15,56.5,34.7,41.5,3.89,-1.448,0.03,55.5,36,1.9,0,1.192,17.1,-561.9,10.32,-1.018,6.19,0
7/12/2021,0:15:00,39.9,-1.019,36.76,12.13,56.4,34.8,41.5,3.89,-1.448,0.03,55.4,36,1.84,0,1.194,17.1,-561.5,10.325,-1.018,6.19,0
7/12/2021,0:30:00,39.9,-1.021,36.68,12.1,56.4,34.8,41.6,3.9,-1.451,0.03,55.4,36,1.72,0,1.191,17.09,-561.1,10.314,-1.02,6.19,0
7/12/2021,0:45:00,39.9,-1.021,36.57,12.07,56.4,34.8,41.6,3.9,-1.451,0.03,55.4,36,1.89,0,1.189,17.08,-560.8,10.31,-1.02,6.19,0
7/12/2021,1:00:00,39.9,-1.022,36.46,12.03,56.4,34.8,41.6,3.91,-1.454,0.03,55.4,36,1.9,0,1.187,17.08,-560.5,10.287,-1.023,6.19,0
7/12/2021,1:15:00,39.9,-1.021,36.42,12.02,56.4,34.9,41.7,3.91,-1.452,0.03,55.5,36,1.82,0,1.191,17.08,-560.3,10.265,-1.021,6.19,0
7/12/2021,1:30:00,39.9,-1.023,36.38,12,56.5,34.9,41.7,3.92,-1.454,0.03,55.5,36,1.81,0,1.203,17.07,-560,10.253,-1.022,6.18,0
7/12/2021,1:45:00,39.8,-1.023,36.29,11.98,56.4,34.9,41.7,3.92,-1.455,0.03,55.4,36,1.76,0,1.201,17.07,-559.7,10.221,-1.022,6.19,0
7/12/2021,2:00:00,39.8,-1.023,36.21,11.95,56.5,34.9,41.8,3.93,-1.454,0.03,55.5,36,1.74,0,1.19,17.06,-559.5,10.199,-1.022,6.18,0
7/12/2021,2:15:00,39.8,-1.023,36.12,11.92,56.5,35,41.8,3.93,-1.454,0.03,55.5,36,1.81,0,1.187,17.06,-559.2,10.19,-1.023,6.18,0
7/12/2021,2:30:00,39.8,-1.023,35.99,11.88,56.5,35,41.8,3.93,-1.455,0.03,55.5,36,1.69,0,1.189,17.06,-559,10.179,-1.023,6.19,0
7/12/2021,2:45:00,39.7,-1.025,35.97,11.87,56.4,35,41.9,3.94,-1.457,0.03,55.4,36,1.76,0,1.196,17.05,-558.8,10.17,-1.024,6.18,0
7/12/2021,3:00:00,39.7,-1.025,35.89,11.84,56.4,35.1,41.9,3.94,-1.457,0.03,55.5,36,1.77,0,1.198,17.05,-558.5,10.15,-1.024,6.18,0
