Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp C,Vertical Position m,Battery V,Cable Pwr V
3/12/2022,22:00:00,-0.1,0.014,-0.75,-0.29,-0.1,71.9,94,10.36,0.019,0,-0.1,0,6.74,0,1.203,7.16,-30.3,0.508,0.011,5.99,0
3/12/2022,22:15:00,0,0.012,-0.74,-0.28,-0.1,71.9,94,10.39,0.017,0,-0.1,0,5.91,0,1.209,7.17,-30.6,0.429,0.012,5.99,0
3/12/2022,22:30:00,0,0.012,-0.77,-0.29,-0.1,71.9,94,10.4,0.017,0,-0.1,0,6.06,0,1.213,7.18,-31.2,0.356,0.011,6,0
3/12/2022,22:45:00,0,0.011,-0.78,-0.3,-0.1,71.9,94,10.43,0.016,0,-0.1,0,7.14,0,1.219,7.18,-31.3,0.269,0.013,6.01,0
3/12/2022,23:00:00,0,0.011,-0.75,-0.29,-0.1,71.8,93.9,10.44,0.015,0,-0.1,0,6.56,0,1.212,7.18,-31.4,0.202,0.012,6.02,0
3/12/2022,23:15:00,0,0.01,-0.76,-0.29,-0.1,71.9,94,10.47,0.014,0,-0.1,0,6.6,0,1.207,7.19,-31.7,0.128,0.01,6.02,0
3/12/2022,23:30:00,0,0.009,-0.76,-0.29,-0.1,71.9,94,10.49,0.012,0,-0.1,0,6.69,0,1.204,7.18,-31.1,0.05,0.009,6.02,0
3/12/2022,23:45:00,0,0.007,-0.75,-0.29,-0.1,71.8,93.9,10.51,0.011,0,-0.1,0,6.6,0,1.214,7.19,-31.6,-0.012,0.008,6.02,0
3/13/2022,0:00:00,0,0.006,-0.75,-0.29,-0.1,71.8,93.9,10.53,0.009,0,-0.1,0,6.9,0,1.216,7.19,-31.6,-0.076,0.005,6.03,0
3/13/2022,0:15:00,0,0.005,-0.75,-0.29,-0.1,71.8,93.9,10.53,0.008,0,-0.1,0,7.01,0,1.214,7.19,-31.9,-0.104,0.004,6.02,0
3/13/2022,0:30:00,0,0.006,-0.75,-0.29,-0.1,71.8,93.9,10.55,0.008,0,-0.1,0,7.55,0,1.216,7.19,-31.9,-0.157,0.006,6.03,0
3/13/2022,0:45:00,0,0.005,-0.77,-0.29,-0.1,71.8,93.9,10.56,0.007,0,-0.1,0,6.67,0,1.217,7.19,-31.6,-0.207,0.006,6.02,0
3/13/2022,1:00:00,0,0.005,-0.75,-0.29,0,71.6,93.6,10.47,0.007,0,0,0,7.83,0,1.209,7.18,-31.4,-0.029,0.006,6.03,0
3/13/2022,1:15:00,0,0.008,-0.81,-0.31,0,71.5,93.5,10.45,0.011,0,0,0,9.65,0,1.206,7.18,-31.1,0.023,0.008,6.03,0
3/13/2022,1:30:00,0,0.022,-0.84,-0.32,0,71.4,93.4,10.44,0.031,0,0,0,10.78,0,1.2,7.17,-30.8,0.023,0.023,6.03,0
3/13/2022,1:35:00,0,0.027,-0.84,-0.32,0,71.5,93.4,10.44,0.039,0,0,0,8.39,0,1.202,7.17,-30.8,0.023,0.028,6.03,0
3/13/2022,1:40:00,0,0.036,-0.82,-0.31,0,71.5,93.5,10.47,0.05,0,0,0,6.63,0,1.217,7.17,-30.8,-0.037,0.033,6.02,0
3/13/2022,1:45:00,0,0.046,-0.82,-0.32,0,71.3,93.3,10.43,0.065,0,0,0,6.14,0,1.213,7.17,-30.9,0.017,0.046,6.02,0
3/13/2022,1:50:00,0,0.058,-0.8,-0.31,0,71.4,93.4,10.45,0.082,0,0,0,6.13,0,1.202,7.17,-30.8,-0.013,0.058,6.04,0
