Date (MM/DD/YYYY),Time (HH:mm:ss),Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,Temp C,Vertical Position m,Battery V,Cable Pwr V
9/18/2023,12:30:00,40.5,-0.987,13.04,4.21,54.9,70.8,91.7,7.65,-1.403,0.02,54,35,1.31,0,1.208,11.916,-0.986,6,0
9/18/2023,12:31:00,40.6,-0.987,12.92,4.18,55,70.9,91.8,7.65,-1.403,0.02,54.1,35,1.15,0,1.208,11.943,-0.987,5.99,0
9/18/2023,12:32:00,40.6,-0.987,12.64,4.09,55,71,92,7.66,-1.403,0.02,54.1,35,2.86,0,1.208,11.967,-0.989,5.99,0
9/18/2023,12:33:00,40.6,-0.987,12.54,4.05,55,71.1,92.1,7.67,-1.403,0.02,54.1,35,2.66,0,1.208,11.994,-0.987,6,0
9/18/2023,12:34:00,40.7,-0.987,12.64,4.08,55,71.2,92.2,7.67,-1.403,0.02,54.1,35,3.55,0,1.208,12.021,-0.986,6,0
9/18/2023,12:35:00,40.7,-0.987,12.49,4.04,55,71.3,92.3,7.67,-1.403,0.02,54,35,5.06,0,1.208,12.046,-0.987,6,0
9/18/2023,12:36:00,40.7,-0.988,12.75,4.12,55,71.3,92.3,7.67,-1.404,0.02,54,35,6.3,0,1.208,12.063,-0.988,6,0
9/18/2023,12:37:00,40.7,-0.988,12.7,4.11,55,71.3,92.3,7.67,-1.405,0.02,54,35,9.01,0,1.208,12.078,-0.988,5.99,0
9/18/2023,12:38:00,40.7,-0.989,12.41,4.01,55,71.3,92.3,7.67,-1.406,0.02,54,35,8.52,0,1.208,12.084,-0.989,6,0
9/18/2023,12:39:00,40.7,-0.989,12.39,4,55,71.3,92.3,7.67,-1.406,0.02,54,35,7.62,0,1.208,12.095,-0.989,6,0
9/18/2023,12:40:00,40.7,-0.99,12.45,4.02,55,71.3,92.4,7.67,-1.407,0.02,54,35,13.74,0,1.208,12.116,-0.99,5.99,0
9/18/2023,12:41:00,40.8,-0.99,12.53,4.05,55,71.4,92.4,7.67,-1.408,0.02,54,35,16.92,0,1.208,12.147,-0.991,6,0
9/18/2023,12:42:00,40.8,-0.99,12.65,4.09,54.9,71.4,92.4,7.66,-1.408,0.02,54,35,12.86,0,1.208,12.173,-0.991,5.99,0
9/18/2023,12:43:00,40.8,-0.991,12.49,4.04,55,71.4,92.4,7.66,-1.409,0.02,54,35,7.31,0,1.208,12.184,-0.991,5.99,0
9/18/2023,12:44:00,40.8,-0.991,12.34,3.99,55,71.4,92.4,7.66,-1.408,0.02,54,35,8.84,0,1.208,12.197,-0.991,6,0
9/18/2023,12:45:00,40.8,-0.991,12.67,4.1,54.9,71.4,92.4,7.65,-1.409,0.02,54,35,11.62,0,1.208,12.223,-0.991,5.98,0
9/18/2023,12:46:00,40.9,-0.991,12.51,4.04,55,71.4,92.4,7.65,-1.409,0.02,54,35,10.26,0,1.208,12.253,-0.991,5.99,0
9/18/2023,12:47:00,40.9,-0.991,12.42,4.01,55,71.4,92.4,7.64,-1.408,0.02,54,35,12.2,0,1.208,12.28,-0.99,5.99,0
9/18/2023,12:48:00,40.9,-0.99,12.13,3.92,55,71.3,92.4,7.64,-1.408,0.02,54.1,35,15.38,0,1.208,12.301,-0.993,5.99,0
9/18/2023,12:49:00,41,-0.99,12.36,4,55,71.3,92.3,7.63,-1.408,0.02,54.1,35,16.27,0,1.208,12.318,-0.994,5.99,0
9/18/2023,12:50:00,41,-0.991,12.73,4.12,55,71.3,92.3,7.62,-1.408,0.02,54.1,35,16.86,0,1.208,12.335,-0.993,5.98,0
9/18/2023,12:51:00,41,-0.99,12.57,4.06,55,71.3,92.3,7.62,-1.408,0.02,54.1,35,12.51,0,1.208,12.353,-0.991,5.98,0
9/18/2023,12:52:00,41,-0.991,12.59,4.07,55,71.3,92.3,7.62,-1.408,0.02,54.1,35,17.69,0,1.208,12.369,-0.991,5.98,0
9/18/2023,12:53:00,41.1,-0.991,12.54,4.06,55,71.3,92.3,7.61,-1.408,0.02,54.1,35,20.21,0,1.208,12.388,-0.991,5.97,0
9/18/2023,12:54:00,41.1,-0.991,12.5,4.04,55,71.2,92.2,7.61,-1.409,0.02,54.1,35,13.86,0,1.208,12.406,-0.993,5.98,0
9/18/2023,12:55:00,41.1,-0.991,12.6,4.07,55,71.2,92.2,7.6,-1.409,0.02,54.1,35,21.89,0,1.208,12.424,-0.994,5.98,0
