VelX,VelY,VelZ
0.372,0.146,0.564
0.401,0.131,-0.025
0.882,0.137,-0.76
0.999,0.127,-0.442
0.222,0.092,-0.333
0.551,0.128,-0.034
0.417,0.273,0.224
0.979,0.228,0.378
0.998,0.129,-0.099
0.835,0.148,-0.578
0.729,0.098,0.222
0.55,0.226,1.582
0.988,-0.066,-0.54
1.044,0.135,-0.548
1.096,0.181,-0.185
0.925,0.147,0.676
1.072,-0.059,-0.484
1.082,0.123,-0.607
0.423,0.008,-0.126
0.819,0.093,-0.445
1.014,0.248,0.459
0.405,0.042,0.105
0.968,0.214,0.444
1.071,0.158,-1.142
0.609,0.125,-0.636
1.01,0.077,-0.233
1.609,-0.129,-1.995
1.043,0.142,-1.394
0.997,0.141,0.04
0.982,0.046,0.94
0.723,-0.007,-0.79
0.705,0.275,-0.302
0.194,0.085,-0.253
1.365,0.058,0.547
1.171,0.192,0.148
1.436,0.183,0.179
0.943,0.156,-0.211
0.62,0.032,-0.255
1.389,0.197,-1.287
0.986,0.147,-0.264
0.867,-0.012,-0.579
0.885,0.356,-0.043
1.049,0.12,0.678
0.675,0.118,-0.483
1.092,-0.035,-0.397
0.573,-0.01,-0.258
0.691,0.19,0.295
0.87,0.048,-0.083
0.347,-0.046,-0.196
0.772,0.021,-0.431
0.993,0.121,-0.591
0.448,0.142,-0.563
0.847,0.279,-0.076
1.102,0.092,-0.145
0.741,-0.119,-0.905
1.44,0.213,-0.682
1.099,0.174,0.45
1.048,-0.14,-0.882
0.639,0.332,0.207
0.799,0.084,-0.807
1.351,0.124,-0.611
0.895,0.081,0.365
0.281,0.108,-0.161
0.868,-0.017,-0.542
0.931,-0.011,-0.945
1.112,0.177,0.054
1.654,0.013,-0.731
1.085,0.002,-0.39
0.445,0.225,0.515
0.698,0.174,0.326
0.945,0.176,0.01
0.662,0.071,0.108
1.279,0.113,-1.104
0.882,0.091,-0.592
1.076,0.115,0.144
0.871,0.173,0.44
1.535,-0.12,-1.202
0.835,0.101,-0.474
0.94,0.103,-0.031
1.074,0.039,-0.711
