VelX,VelY,VelZ
(m/s),(m/s),(m/s)
1.198,0.269,0.36
0.599,0.182,0.048
0.839,0.168,-0.035
1.453,0.264,-0.902
1.604,0.127,0.584
1.319,0.232,-0.154
0.662,0.188,0.029
0.942,0.22,-0.123
0.993,0.343,-0.016
0.874,0.207,-0.113
1.238,0.16,-0.376
0.197,0.426,0.669
1.278,0.258,0.158
0.907,0.239,0.085
1.066,0.027,-0.079
1.111,0.101,0.064
0.956,0.242,0.287
1.974,0.101,-0.599
1.048,0.261,-0.48
1.111,0.214,-0.299
1.337,0.253,-0.369
1.114,0.264,0.147
1.344,0.217,0.025
0.35,0.011,-0.32
1.138,0.259,0.171
1.019,0.215,-0.005
0.944,0.254,-0.154
1.186,0.256,1.104
0.772,0.054,-0.354
1.283,0.273,0.112
1.211,0.095,-0.1
1.133,0.194,-0.293
1.226,0.291,0.289
0.927,0.201,-0.495
1.181,0.249,-1.003
1.127,0.311,0.07
1.282,0.159,-0.246
1.152,0.269,-0.171
1.142,0.251,-0.071
1.035,0.368,-0.495
1.462,0.308,-0.407
1.491,0.381,-0.584
0.974,0.218,-0.746
1.416,0.163,-0.61
1.05,0.226,0.244
1.175,0.265,0.239
1.077,0.09,0.441
1.186,0.298,-0.029
1.645,0.171,-0.681
1.223,0.261,0.355
1.37,0.135,-0.235
0.319,0.362,0.01
1.452,0.073,-0.168
0.934,0.471,0.88
1.544,-0.074,-0.672
0.932,0.348,0.128
0.466,0.185,-0.946
1.196,0.36,0.381
1.122,0.329,-0.136
1.515,0.214,-0.294
1.471,0.303,0.229
1.412,0.288,0.031
1.103,0.273,0.098
1.209,0.266,0.09
1.673,0.073,-0.637
1.551,0.288,-0.194
1.093,0.242,0.256
1.287,0.215,0.287
1.24,0.164,-0.436
0.83,0.105,-0.597
0.801,0.31,-0.582
1.444,0.122,-0.054
1.124,0.264,0.955
0.903,0.161,-0.571
1.338,0.15,-0.109
1.083,0.381,0.114
1.189,0.227,-0.184
1.503,0.209,0.07
1.331,0.329,0.237
1.419,0.263,0.157
