VelX,VelY,VelZ
-0.092,0.034,0.328
0.031,-0.069,0.006
-0.008,0.024,0.186
-0.097,-0.08,-0.01
-0.166,0.186,-0.092
-0.047,-0.122,0.309
0.007,0.018,-0.055
0.056,0.014,0.038
0.038,-0.017,-0.034
-0.575,0.038,0.288
-0.066,0.101,0.239
-0.062,0.008,0.255
-0.081,-0.041,0.388
0.399,-0.156,-0.072
-0.016,-0.23,-0.23
0.034,-0.009,0.123
0.357,0.143,0.238
0.069,-0.327,-0.103
0.238,0.025,0.148
-0.107,-0.062,-0.141
-0.068,-0.154,0.121
0.291,-0.11,-0.335
0.014,0.048,0.248
0.013,-0.232,0.025
0.069,-0.218,0.068
-0.019,-0.222,-0.753
-0.037,0.24,0.277
0.167,-0.17,0.04
0.136,-0.109,0.396
0.099,-0.127,0.194
-0.203,0.175,0.29
0.101,0.149,0.197
-0.028,-0.122,-0.067
-0.044,-0.031,0.156
0.091,-0.034,0.386
-0.018,0.047,0.267
-0.097,0.047,-0.09
0.069,-0.065,0.245
-0.036,0.001,0.145
-0.013,-0.125,0.174
0.125,-0.136,0.084
0.003,0.022,0.02
-0.059,0.006,-0.177
-0.464,0.145,0.788
0.216,-0.046,0.119
0.046,-0.038,0.324
-0.087,-0.192,0.04
-0.193,-0.022,0.224
0.306,-0.195,0.141
0.355,-0.017,-0.189
0.147,0.087,0.346
0.142,-0.158,-0.256
0.127,-0.189,0.199
0.108,-0.024,0.136
-0.003,-0.068,0.047
0.053,-0.072,0.081
-0.074,0.029,0.199
-0.064,-0.15,0.222
-0.088,-0.085,0.09
0.025,-0.14,0.006
0.093,-0.101,0.291
0.413,0.256,-0.087
0.265,0.074,0.038
0.094,-0.129,0.167
0.3,0.014,-0.203
-0.04,0.206,0.461
0.132,-0.001,0.061
-0.18,-0.02,0.03
0.017,-0.083,0.091
0.027,-0.093,0.159
-0.104,-0.137,0.264
0.162,-0.065,0.223
0.158,-0.12,-0.391
0.273,0.401,0.351
0.428,-0.205,-0.233
0.248,-0.278,0.237
0.004,-0.131,-0.224
0.019,-0.111,-0.123
0.038,-0.027,0.131
0.228,0.002,0.259
