VelX,VelY,VelZ
(m/s),(m/s),(m/s)
1.414,-0.457,-0.114
0.973,-0.411,-0.628
0.794,-0.144,-0.897
1.396,-0.339,-0.736
1.117,-0.164,-0.293
0.965,-0.348,-0.939
1.054,-0.206,-0.76
1.593,-0.278,-0.269
1.031,-0.29,-0.852
1.252,-0.264,-0.533
1.102,-0.318,-0.392
0.536,-0.052,0.15
1.142,-0.288,0.038
1.002,-0.293,-0.629
1.234,-0.183,-0.758
0.746,-0.181,-0.354
1.137,-0.208,-0.549
1.039,-0.375,-0.853
1.03,-0.295,-0.686
1.049,-0.242,-0.379
1.178,-0.273,-0.032
0.851,-0.309,-0.406
1.182,-0.136,-0.46
1.225,-0.208,-0.539
1.363,-0.342,-0.653
1.818,-0.51,-1.513
1.508,-0.275,-1.079
0.888,-0.184,-0.732
0.967,-0.217,-0.176
1.2,-0.228,-1.164
1.006,-0.335,-0.575
1.103,-0.008,-0.214
1.352,-0.186,-0.922
1.456,-0.168,-0.015
1.29,-0.251,-0.557
1.524,-0.155,-0.317
1.231,-0.203,-0.339
1.354,-0.17,0.48
1.117,-0.19,-0.705
0.617,-0.17,-0.079
1.297,-0.308,-0.791
1.08,-0.334,-0.664
1.272,-0.231,-0.747
0.967,-0.155,-0.413
1.072,-0.184,-0.316
1.164,-0.198,-0.83
1.158,-0.3,-0.131
1.034,-0.222,-1.048
1.588,-0.061,0.145
1.207,-0.209,-0.964
1.125,-0.188,-1.248
1.02,-0.147,-0.306
1.546,-0.181,-0.672
1.516,-0.262,-0.386
1.058,-0.145,-0.847
1.411,-0.153,-0.328
0.964,-0.238,-0.81
1.115,-0.307,-1.12
1.129,-0.252,-0.581
1.018,-0.258,-0.733
0.939,-0.173,-0.315
1.349,-0.189,-0.606
0.852,-0.297,-0.557
1.256,-0.272,-0.734
1.316,-0.213,-0.674
1.206,-0.306,-0.233
1.186,-0.306,-0.92
0.963,-0.097,-0.504
1.152,-0.2,-0.708
1.088,-0.262,-0.758
1.013,-0.278,-0.713
1.223,-0.144,-0.516
1.337,-0.13,-1.457
1.127,-0.271,-0.398
0.929,-0.456,-0.711
1.822,-0.225,-0.439
1.25,-0.284,-0.513
1.22,-0.131,-0.357
1.221,-0.361,-0.308
1.075,-0.258,-0.277
