VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.901,0.086,0.295
1.472,0.091,0.134
1.363,0.174,-0.094
1.573,0.122,0.67
1.462,-0.028,-0.095
1.321,0.001,-0.051
0.625,0.212,2.182
1.234,-0.058,-0.222
0.881,0.175,0.488
1.18,0.113,0.214
1.602,0.1,0.074
1.198,0.127,0.637
1.172,-0.077,0.89
0.647,0.155,0.337
1.498,-0.105,-0.437
0.838,0.069,0.076
1.897,0.294,0.982
1.071,0.044,0.136
1.438,-0.017,0.763
1.358,-0.107,0.894
0.627,0.206,0.392
1.606,0.12,0.759
1.842,-0.014,-0.047
1.508,0.081,0.497
0.656,0.188,0.735
0.773,0.078,0.527
0.954,-0.073,0.739
2.01,0.156,0.915
1.365,-0.114,-0.962
1.428,0.136,0.221
1.36,0.026,0.591
1.143,-0.068,0.629
1.182,-0.019,0.551
0.534,-0.131,-0.807
0.752,0.024,1.66
1.096,-0.074,0.322
1.216,0.104,0.142
0.887,-0.011,-0.113
1.498,-0.103,0.236
0.513,-0.08,0.046
1.784,0.114,0.244
1.281,-0.106,-0.827
1.391,-0.135,0.431
1.189,0.03,0.674
1.882,0.126,0.096
0.969,0.039,-0.158
1.185,0.13,0.748
1.692,0.164,-0.161
0.338,0.344,3.387
1.117,-0.012,0
1.023,-0.138,-0.461
1.187,0.329,0.735
1.244,-0.081,-0.334
1.551,0.058,0.142
1.145,0.107,1.861
1.955,0.15,0.678
0.707,0.164,1.398
0.96,0.163,1.036
1.049,-0.1,0.378
1.19,-0.11,0.102
1.36,0.074,0.211
1.25,-0.08,-0.09
1.283,0.004,-0.713
0.798,-0.25,-0.526
0.539,-0.161,-0.421
1.094,0.036,-1.573
1.009,0.027,0.89
0.8,0.107,-0.406
1.56,0.074,0.646
1.274,0.155,0.026
1.868,0.081,0.849
1.402,0.023,-1.349
0.87,-0.091,-0.327
1.007,0.134,0.607
1.198,0.042,1.383
1.094,0.038,0.11
1.132,0.37,0.448
1.415,0.11,-0.161
1.34,-0.074,-0.544
0.693,-0.206,-0.177
