VelX,VelY,VelZ
(m/s),(m/s),(m/s)
0.026,-0.013,-0.037
-0.013,0.03,0.022
0.011,-0.011,0.021
-0.05,-0.034,0.035
-0.101,-0.061,-0.114
0.072,-0.021,-0.061
0.085,0.013,0.089
-0.047,0.032,0.008
0.013,-0.035,0.181
0.006,0.006,-0.016
-0.024,-0.006,-0.031
0.108,0.067,0.157
0.205,0.069,0.011
0.079,-0.001,0.121
0.131,0.08,0.129
0.108,0.005,-0.065
0.101,-0.017,0.09
0.11,0.002,-0.114
0.028,-0.017,0.194
0.23,0.026,-0.001
0.183,0.029,0.007
0.262,0.1,0.11
0.476,0.038,-0.537
0.037,-0.01,-0.086
0.069,0.031,0.033
0.282,0.033,-0.075
0.144,-0.02,-0.01
0.133,-0.036,-0.098
0.329,0.195,0.157
0.317,0.106,0.27
0.232,0.07,-0.023
0.215,0.057,-0.142
0.165,-0.001,0.058
0.287,0.119,0.072
0.173,0.002,-0.101
0.275,0.076,0.381
0.128,-0.007,0.026
0.151,0.01,-0.066
0.131,0.011,0.068
0.182,0.14,0.116
0.085,0.022,-0.007
0.098,0.053,0.15
0.152,-0.047,-0.013
0.179,0.015,0.024
0.074,-0.026,0.008
0.112,0.023,-0.186
0.348,0.087,-0.121
0.084,-0.008,-0.068
-0.01,-0.013,-0.04
0.054,0.016,0.152
0.181,0.025,0.029
0.003,0.001,-0.244
0.008,0.046,0.448
0.059,0,0.023
0.114,0,0.295
-0.026,0.004,0.088
0.022,-0.02,-0.053
0.119,0.041,0.162
0.174,0.024,0.079
0.113,0.001,0.058
0.178,0.025,-0.191
0.216,0.17,0.148
0.32,0.091,0.082
0.256,0.054,0.015
0.103,0.006,0.061
0.069,-0.043,-0.029
0.371,0.17,-0.301
0.088,-0.02,-0.002
0.012,-0.001,-0.091
-0.005,0,-0.007
0.026,-0.031,0.424
0.216,0.057,-0.077
0.346,0.134,0.265
0.091,-0.009,-0.002
0.083,-0.03,-0.166
0.217,-0.001,0.028
0.38,0.116,-0.002
0.219,0.11,0.068
0.23,0.06,0.302
0.059,-0.018,0.086
