time,average_depth
2026-07-23 02:30:50,33.90448030448695
2026-07-23 02:31:00,66.12191751946385
2026-07-23 02:31:10,55.08836655174786
2026-07-23 02:31:20,47.411937475984814
2026-07-23 02:31:30,43.7687240280081
2026-07-23 02:31:40,42.54036774081203
2026-07-23 02:31:50,39.94345021966693
2026-07-23 02:32:00,44.38024207047886
2026-07-23 02:32:10,43.15543861237021
2026-07-23 02:32:20,40.99475827356144
2026-07-23 02:32:30,40.684257827357335
2026-07-23 02:32:40,39.479601879786216
2026-07-23 02:32:50,40.06185930893913
