time,average_depth
2026-07-23 11:57:09,36.84181604540016
2026-07-23 11:57:21,67.11606421286376
2026-07-23 11:57:32,61.403024519098864
2026-07-23 11:57:42,52.940780957646275
2026-07-23 11:57:53,46.50689241718711
2026-07-23 11:58:04,43.15543861237021
2026-07-23 11:58:14,40.99475827356144
2026-07-23 11:58:25,40.684257827357335
2026-07-23 11:58:34,40.684257827357335
2026-07-23 11:58:44,40.06185930893913
2026-07-23 11:58:54,40.684257827357335
2026-07-23 11:59:04,39.94345021966693
2026-07-23 11:59:13,39.70952926369219
2026-07-23 11:59:24,39.94345021966693
