time,average_depth
2026-07-23 01:53:39,38.193777000577754
2026-07-23 01:53:50,38.49897480955923
2026-07-23 01:54:00,66.88287869296347
2026-07-23 01:54:10,58.794255835598825
2026-07-23 01:54:20,52.67072932664183
2026-07-23 01:54:30,48.31323875849511
2026-07-23 01:54:40,45.294244225777206
2026-07-23 01:54:50,45.901421315042676
2026-07-23 01:55:00,43.15543861237021
2026-07-23 01:55:10,40.99475827356144
2026-07-23 01:55:20,40.99475827356144
2026-07-23 01:55:30,40.684257827357335
2026-07-23 01:55:40,39.479601879786216
2026-07-23 01:55:50,39.94345021966693
2026-07-23 01:56:00,39.94345021966693
2026-07-23 01:56:10,39.70952926369219
