time,average_depth
2026-07-23 11:14:20,25.83280949655495
2026-07-23 11:18:35,31.65357254435545
2026-07-23 11:18:40,40.99475827356144
2026-07-23 11:18:45,66.88287869296347
2026-07-23 11:18:50,67.28185228760384
2026-07-23 11:19:00,52.940780957646275
2026-07-23 11:19:10,45.901421315042676
2026-07-23 11:19:20,42.232157028377074
2026-07-23 11:19:30,39.59405631729584
2026-07-23 11:19:40,38.708760822076634
2026-07-23 11:19:50,39.03239393260624
2026-07-23 11:20:00,39.03239393260624
2026-07-23 11:20:10,38.49897480955923
