ISCO 3,time,SS (mg/L),SRP (mg/L),TP (mg/L),DOC (mg/L),POC (mg/L),q
1,14:54,92.06,0.042,0.094,4.522,11.10505732,1.851
3,15:02,95.69,0.045,0.12,4.436,29.71212071,2.066
8,16:13,403.515,0.09,0.362,12.442,41.27935076,3.867
11,16:58,124.04,0.083,0.208,12.977,9.524065462,3.974
15,17:58,65.3,0.067,0.132,13.108,6.538644049,3.156
24,20:13,42.87,0.048,0.086,12.073,5.707480069,2.193
